time_s,x_enu_m,y_enu_m,z_enu_m,vx_enu_m_s,vy_enu_m_s,vz_enu_m_s
22.511669382453874,-2.264875699313473,347.3289862471023,1564.408491117215,-0.11390537877083011,14.312675357836149,-38.99090042473691
22.56335998626433,-2.270755968335531,348.0687898758454,1562.3804328911815,-0.11361023185566754,14.311410279297654,-39.47824427345633
22.615050590074787,-2.2766206162713862,348.80849422741187,1560.3271805170584,-0.11330052522722578,14.30878514500314,-39.96571895343058
22.666741193885244,-2.282468828530046,349.54802221386007,1558.248725418484,-0.11297403653531472,14.30455721569757,-40.45338608265356
22.7184317976957,-2.2882997051161924,350.2872875015279,1556.1450572753456,-0.11262973090629448,14.298616621983395,-40.94125022379536
22.770122401506157,-2.2941123257451097,351.02620178505276,1554.016166932698,-0.11226787631012468,14.290998880418647,-41.42926240914797
22.821813005316613,-2.299905818102707,351.7646823934101,1551.8620490011667,-0.11189003813791133,14.281883921717347,-41.917328842052115
22.890126026789623,-2.3075317400097024,352.7398584343285,1548.976520741121,-0.11137091102588466,14.268076713619644,-42.562210098874324
22.940685645091992,-2.313152673372355,353.46097073930184,1546.8125316003902,-0.1109768892097621,14.257094716693521,-43.039211722185755
22.99124526339436,-2.31875356910217,354.18152200935475,1544.6244351895111,-0.11057902697675631,14.245967318017625,-43.51580567701868
23.04180488169673,-2.3243343369660305,354.90151647635645,1542.4122556611483,-0.11018137900446631,14.235146101333543,-43.99185144102481
23.0923644999991,-2.329895084641007,355.62098036289404,1540.1760239419405,-0.10978763283958139,14.225039679902517,-44.46722484823964
23.14292411830147,-2.3354360884324366,356.3399585157792,1537.9157766699695,-0.1094007517825274,14.215973970673929,-44.94182702714168
23.193483736603838,-2.3409577490307205,357.05850938073473,1535.6315546629412,-0.10902267457478726,14.208159034493436,-45.415592664904096
23.244043354906207,-2.346460535238353,357.7766986586297,1533.3234010351093,-0.10865412433256684,14.201668323399666,-45.888496535289164
23.294602973208576,-2.351944920514967,358.49459219427104,1530.991359083418,-0.10829454984275569,14.196432857419433,-46.36055684573537
23.345162591510945,-2.35741131941536,359.21224889186857,1528.635470111009,-0.10794220055168628,14.19225036400789,-46.831833947834006
23.406351461739654,-2.3640032925601484,360.0805275155747,1525.7524566894808,-0.10752146857832011,14.188145710888932,-47.40127910333659
23.453957260671768,-2.369114167124622,360.7558967072704,1523.48534705685,-0.10719470675175105,14.185256036140439,-47.84375608750385
23.501563059603882,-2.374209428862165,361.43112691889826,1521.1971822788678,-0.10686500179090695,14.182246184164493,-48.28586032537876
23.549168858535996,-2.3792888649906687,362.10620432287504,1518.8879776927265,-0.10652935417352986,14.178781671490968,-48.72768966794016
23.59677465746811,-2.384352128685169,362.7811001787977,1516.5577443791349,-0.10618520081331206,14.174578161367709,-49.16932294962845
23.644380456400224,-2.38939876676505,363.4557739842962,1514.2064903056944,-0.10583066293003436,14.16942884653382,-49.61081199650995
23.69198625533234,-2.3944282572272333,364.1301777130296,1511.8342217353816,-0.10546473813549496,14.163225529623515,-50.052176826595485
23.739592054264453,-2.3994400533835414,364.8042607708586,1509.4409447521452,-0.10508740136004457,14.155969487772948,-50.49340506461173
23.787197853196567,-2.40443363046452,365.477975205624,1507.0266667340693,-0.10469959262629054,14.147769685824601,-50.93445546993653
23.83480365212868,-2.409408529289674,366.1512805685224,1504.5913975955,-0.10430309350061695,14.138828546080907,-51.375264316159786
23.88728995232587,-2.4148713750927118,366.89310398942905,1501.8821536517794,-0.10385876198170313,14.128437113418952,-51.86089019380037
23.939776252523057,-2.420310778172946,367.6343758715253,1499.1474336853266,-0.10341047252586354,14.11788677677386,-52.34601299969957
23.992262552720245,-2.425726628558308,368.3750987847391,1496.387267042754,-0.10296188874126087,14.107585911780074,-52.83052299489034
24.044748852917433,-2.4311189966305227,369.1152953388795,1493.601688419641,-0.10251613226097299,14.097880065380133,-53.31432803905904
24.09723515311462,-2.436488092995457,369.8550035872957,1490.7907366426653,-0.10207535534469989,14.089004537230728,-53.797364490789086
24.14972145331181,-2.441834208768389,370.594270269049,1487.9544529552672,-0.10164044102403945,14.081051535252255,-54.279604825803
24.202207753508997,-2.447157645660236,371.33314295291444,1485.0928790352846,-0.10121091918862019,14.073961674444856,-54.7610599477944
24.254694053706185,-2.452458647379356,372.0716623769617,1482.206055035806,-0.10078510256430791,14.06754011924156,-55.24177579650017
